discrete,segment,set,expectdiscrete,expectsegment,expectset
0.00969435,0.108106,0.0986242,0.979129,0.992608,0.996105
0.0096965,0.10807,0.0985212,0.979347,0.992278,0.995064
0.00967764,0.107992,0.0985456,0.977442,0.991567,0.99531
0.00970766,0.107986,0.0984654,0.980474,0.991504,0.9945
0.00970967,0.10791,0.0984277,0.980677,0.990808,0.99412
0.00974591,0.107999,0.0985069,0.984337,0.991631,0.99492
0.00976804,0.10804,0.0987144,0.986572,0.992006,0.997015
0.00978988,0.107986,0.0987298,0.988778,0.991507,0.997171
0.00976445,0.107966,0.0986578,0.986209,0.991323,0.996444
0.00975935,0.107966,0.0986534,0.985694,0.991325,0.9964
0.00976756,0.107913,0.0986623,0.986524,0.990841,0.99649
0.00975594,0.107921,0.0987106,0.98535,0.990907,0.996977
0.009751,0.107967,0.0986864,0.984851,0.991332,0.996732
0.00973313,0.107961,0.0987403,0.983047,0.991274,0.997277
0.0097284,0.107967,0.0986646,0.982569,0.991335,0.996513
0.00973015,0.107852,0.0985514,0.982745,0.990278,0.995369
0.00973186,0.10784,0.0984905,0.982918,0.99017,0.994754
0.00974622,0.107955,0.0985191,0.984368,0.991225,0.995043
0.00972895,0.107911,0.0984718,0.982624,0.990823,0.994565
0.00971814,0.107925,0.0985376,0.981532,0.990943,0.99523
0.00971368,0.107869,0.098497,0.981082,0.990434,0.99482
0.00972162,0.107895,0.0984939,0.981884,0.990668,0.994789
0.00970493,0.107865,0.0984602,0.980198,0.990393,0.994448
0.00971282,0.107896,0.0985489,0.980995,0.99068,0.995344
0.00972062,0.107963,0.0985577,0.981783,0.991298,0.995432
0.00971628,0.107951,0.0986989,0.981345,0.991189,0.996859
0.00971199,0.107862,0.0985869,0.980911,0.990367,0.995728
0.00972561,0.107833,0.0985775,0.982287,0.990102,0.995632
0.00970948,0.107798,0.098574,0.980658,0.989785,0.995598
0.00971119,0.107817,0.0985471,0.980831,0.989958,0.995326
0.00970703,0.107742,0.098503,0.98041,0.98927,0.99488
0.00970292,0.107726,0.0986338,0.979995,0.989123,0.996201
0.00968152,0.107722,0.0986706,0.977834,0.989085,0.996573
0.00968335,0.107706,0.098684,0.978019,0.988941,0.996708
0.00968516,0.107628,0.0986915,0.978201,0.988222,0.996784
0.00969263,0.107681,0.0987614,0.978956,0.988711,0.99749
0.00972826,0.107757,0.0988136,0.982555,0.989402,0.998018
0.00974103,0.107691,0.098781,0.983844,0.988795,0.997688
0.00976482,0.107843,0.0988325,0.986247,0.990196,0.998208
0.00977168,0.107827,0.0987834,0.98694,0.990051,0.997712
0.00975637,0.107845,0.0988012,0.985393,0.990212,0.997892
0.00980166,0.107917,0.0988737,0.989968,0.990876,0.998624
0.00977542,0.107901,0.0988908,0.987318,0.990729,0.998797
0.00978751,0.107837,0.0988098,0.988539,0.990135,0.997979
0.00977245,0.107821,0.0987568,0.987017,0.989995,0.997444
0.00977367,0.107833,0.098742,0.98714,0.990102,0.997294
0.00977488,0.107866,0.0987541,0.987263,0.990405,0.997416
0.00974948,0.107888,0.0986969,0.984698,0.990607,0.996838
0.00973493,0.107915,0.0987831,0.983228,0.990855,0.99771
0.00976264,0.107905,0.098779,0.986027,0.990763,0.997668
0.00976912,0.107952,0.0988744,0.986681,0.9912,0.998631
0.00979116,0.107953,0.0988594,0.988907,0.991202,0.99848
0.0098026,0.107886,0.0988291,0.990063,0.990586,0.998174
0.00980362,0.107933,0.0987939,0.990165,0.991017,0.997818
0.00978411,0.107984,0.0987642,0.988195,0.991491,0.997518
0.00978522,0.10802,0.0987654,0.988307,0.99182,0.99753
0.00980153,0.10805,0.098797,0.989955,0.992099,0.99785
0.00978738,0.10801,0.0987526,0.988526,0.991725,0.997401
0.00978343,0.10801,0.0988192,0.988126,0.991725,0.998073
0.00982951,0.108105,0.0988001,0.99278,0.992597,0.997881
0.00983533,0.108164,0.0988807,0.993369,0.99314,0.998695
0.00985595,0.108208,0.0989555,0.995451,0.993542,0.999451
0.00985173,0.108226,0.0989163,0.995025,0.993713,0.999055
0.00984756,0.10823,0.0989118,0.994603,0.993748,0.999009
0.00985318,0.108209,0.0988976,0.995171,0.993559,0.998866
0.00985875,0.108237,0.0989758,0.995733,0.993817,0.999655
0.00985943,0.108227,0.0989952,0.995802,0.993717,0.999852
0.00986491,0.108283,0.0989904,0.996356,0.994237,0.999803
0.00988469,0.108248,0.0989331,0.998354,0.993917,0.999224
0.00988048,0.108247,0.0988572,0.997929,0.993906,0.998458
0.00985261,0.108184,0.0987868,0.995114,0.99333,0.997747
0.00985803,0.108212,0.0987972,0.995661,0.993582,0.997852
0.00987747,0.108248,0.0987888,0.997625,0.993918,0.997767
0.00987337,0.108303,0.0987944,0.99721,0.994422,0.997824
0.00986466,0.108344,0.0987396,0.99633,0.994793,0.99727
0.00986528,0.108333,0.0987917,0.996394,0.994693,0.997796
0.00987512,0.108345,0.0988572,0.997387,0.994806,0.998458
0.00986193,0.10833,0.0988257,0.996055,0.994665,0.99814
0.00986256,0.108319,0.09879,0.996119,0.994568,0.997779
0.00984501,0.108309,0.0987955,0.994346,0.994471,0.997835
0.00984118,0.108334,0.0987964,0.99396,0.994707,0.997844
0.00981487,0.108256,0.0987838,0.991302,0.99399,0.997717
0.00979777,0.108255,0.0987893,0.989574,0.99398,0.997772
0.00980313,0.108259,0.0987768,0.990117,0.99401,0.997646
0.00979068,0.108257,0.0987601,0.988858,0.994,0.997477
0.00978718,0.108274,0.0987434,0.988505,0.994152,0.997309
0.00979252,0.108304,0.0987313,0.989044,0.994424,0.997186
0.0098022,0.108298,0.0987457,0.990022,0.994371,0.997331
0.00980743,0.108366,0.0987075,0.990551,0.995001,0.996946
0.00980827,0.10833,0.0986653,0.990635,0.994667,0.996519
0.00982641,0.108407,0.0986581,0.992468,0.995369,0.996447
0.00984009,0.108362,0.0986854,0.993849,0.994957,0.996723
0.0098279,0.108373,0.0987039,0.992618,0.995061,0.99691
0.00983291,0.108393,0.0987052,0.993124,0.995243,0.996922
0.00982937,0.108463,0.098732,0.992766,0.995892,0.997193
0.00985128,0.108445,0.098767,0.994979,0.995718,0.997547
0.00984769,0.10843,0.0987342,0.994616,0.995585,0.997216
0.00982312,0.108449,0.0987353,0.992135,0.995761,0.997227
0.00979457,0.108435,0.0987406,0.989252,0.995629,0.99728
0.00979543,0.108437,0.0987459,0.989338,0.99565,0.997333
0.00983777,0.108464,0.0987345,0.993614,0.9959,0.997218
0.0098467,0.108512,0.098686,0.994517,0.996338,0.996729
0.00985145,0.108493,0.0986955,0.994996,0.996167,0.996825
0.00985206,0.108528,0.0986558,0.995058,0.996487,0.996423
0.0098445,0.108547,0.0986245,0.994294,0.996655,0.996108
0.0098248,0.108565,0.0986179,0.992305,0.996821,0.996041
0.00981742,0.108587,0.0986357,0.991559,0.997023,0.99622
0.00982218,0.108576,0.0985323,0.992041,0.996928,0.995176
0.00985503,0.10863,0.0985262,0.995358,0.997422,0.995114
0.0098716,0.108704,0.0985761,0.997032,0.998097,0.995618
0.00987212,0.108697,0.0985777,0.997084,0.998035,0.995635
0.00988453,0.108718,0.0985397,0.998337,0.998228,0.995251
0.00987708,0.108679,0.0984941,0.997585,0.997875,0.994791
0.00990512,0.108708,0.0984961,1.00042,0.99814,0.994811
0.00991726,0.108745,0.0985648,1.00164,0.998475,0.995504
0.00991368,0.108715,0.0985704,1.00128,0.998197,0.995561
0.00990234,0.108735,0.0985448,1.00014,0.998386,0.995303
0.00987946,0.108728,0.0985272,0.997826,0.998324,0.995125
0.0098529,0.108733,0.0985367,0.995143,0.998369,0.995221
0.00983424,0.108707,0.0985039,0.993258,0.998131,0.994889
0.00983104,0.108701,0.0985211,0.992935,0.998071,0.995063
0.0098355,0.108717,0.0985039,0.993386,0.998222,0.994889
0.00984373,0.108734,0.0985172,0.994217,0.998371,0.995023
0.00982917,0.108685,0.0984735,0.992746,0.997928,0.994583
0.00984869,0.108705,0.0984793,0.994717,0.998113,0.994641
0.00984174,0.108688,0.0984361,0.994015,0.99795,0.994205
0.00984607,0.108711,0.0984008,0.994453,0.998167,0.993848
0.00984292,0.108664,0.0983807,0.994135,0.997732,0.993645
0.00983978,0.108687,0.0983755,0.993818,0.997948,0.993593
0.00983297,0.108677,0.098426,0.99313,0.997857,0.994102
0.00982621,0.108657,0.0983912,0.992447,0.997664,0.993751
0.00983787,0.108709,0.0983346,0.993625,0.998148,0.99318
0.00983847,0.108758,0.09837,0.993685,0.998595,0.993537
0.00983541,0.108726,0.0982847,0.993376,0.998302,0.992676
0.00982873,0.108734,0.0982728,0.992702,0.998378,0.992555
0.00982573,0.10875,0.0981776,0.992399,0.99852,0.991594
0.00982997,0.108754,0.0981697,0.992827,0.998561,0.991514
0.00984137,0.108751,0.0982051,0.993979,0.998536,0.991871
0.00983477,0.108763,0.098233,0.993312,0.998643,0.992154
0.00983179,0.108732,0.0982072,0.993011,0.998356,0.991893
0.00985018,0.108743,0.0982421,0.994869,0.998463,0.992245
0.00983298,0.108691,0.0982483,0.993131,0.997983,0.992308
0.00983358,0.108671,0.0982085,0.993191,0.997798,0.991906
0.00984824,0.108697,0.0982289,0.994673,0.998035,0.992112
0.00985229,0.108768,0.0982141,0.995081,0.998689,0.991962
0.00985979,0.108769,0.0982273,0.995839,0.998696,0.992096
0.00984983,0.108815,0.0981952,0.994833,0.99912,0.991771
0.00984341,0.108809,0.098198,0.994184,0.999062,0.9918
0.00984395,0.108816,0.0982215,0.994239,0.999132,0.992037
0.00985138,0.108713,0.0981449,0.99499,0.998188,0.991263
0.00983471,0.108653,0.0981581,0.993306,0.997629,0.991397
0.00984555,0.10865,0.0981816,0.994401,0.997608,0.991634
0.00983584,0.108672,0.0982014,0.99342,0.997807,0.991834
0.009833,0.108666,0.0981395,0.993133,0.997755,0.991209
